<Trace>
301
CsPbBr3-1-C6
X	Y
400	420.045868
401	290.021881
402	360.0337
403	490.062439
404	370.035583
405	390.039551
406	510.067627
407	380.037537
408	410.0437
409	460.055023
410	560.081543
411	420.045868
412	480.0599
413	500.065
414	410.0437
415	430.0481
416	380.037537
417	480.0599
418	500.065
419	530.073059
420	500.065
421	440.050354
422	540.0758
423	540.0758
424	680.120239
425	730.1386
426	680.120239
427	670.11676
428	620.1
429	580.087463
430	680.120239
431	650.109863
432	730.1386
433	790.1623
434	710.1311
435	760.1502
436	830.179138
437	890.206
438	1240.3999
439	1320.45325
440	1400.50989
441	1930.96912
442	2261.329
443	2441.54932
444	2852.114
445	4004.16577
446	4866.15137
447	5798.734
448	7986.561
449	9885.364
450	12732.0547
451	16863.7246
452	20357.3711
453	26055.7188
454	32004.85
455	37615.4922
456	42516.5469
457	47901.6641
458	52530.9844
459	53877.73
460	56028.3164
461	57408.4258
462	55894.4766
463	54371.4336
464	53034.6172
465	50168.7422
466	52551.5352
467	50394.57
468	51339.23
469	51534.38
470	53137.418
471	54587.47
472	57171.47
473	60863.04
474	61152.0664
475	63021.4531
476	65968.66
477	66838.17
478	71170.88
479	72842.3047
480	77688.3047
481	80220.15
482	85105.7
483	88819.9141
484	92551.81
485	98236.9453
486	101070.016
487	105575.7
488	111914.18
489	117444.32
490	124120.742
491	128306.648
492	135267.7
493	142383.266
494	151937.078
495	156118.953
496	163606.188
497	173977.688
498	183756.172
499	191451.4
500	201896.859
501	209776.7
502	220849.547
503	227872.953
504	236357.672
505	242042.563
506	248495.219
507	253097.984
508	256820.156
509	256123.125
510	251615.688
511	246516.219
512	237647.188
513	225352.813
514	214008.172
515	198966.844
516	186024.063
517	167933.578
518	153712.719
519	139994.141
520	126778.594
521	114480.906
522	103347.922
523	91177.72
524	81962.07
525	74598.35
526	67242
527	60997.2266
528	56646.1523
529	48557.918
530	44900.11
531	39890.8867
532	36045.7148
533	32777.7578
534	29982.5176
535	27120.3379
536	25011.9531
537	21550.2988
538	19266.1875
539	17822.33
540	15885.43
541	14595.2461
542	12883.0566
543	12228.7988
544	11061.7529
545	9664.243
546	8980.938
547	8709.693
548	7876.10645
549	6882.30029
550	6500.976
551	5247.152
552	5156.908
553	4846.101
554	4344.905
555	3944.04175
556	3693.54468
557	3403.009
558	2832.08447
559	2882.15869
560	2621.78638
561	2481.60059
562	2191.248
563	2041.08276
564	1971.00977
565	1620.68274
566	1790.83362
567	1770.81506
568	1510.59314
569	1400.50989
570	1290.43286
571	1320.45325
572	1140.338
573	1130.33215
574	1130.33215
575	990.254944
576	1210.38086
577	870.196838
578	880.2014
579	830.179138
580	730.1386
581	870.196838
582	720.1348
583	810.170654
584	830.179138
585	620.1
586	590.0905
587	530.073059
588	760.1502
589	550.0787
590	780.1582
591	590.0905
592	700.127441
593	700.127441
594	760.1502
595	540.0758
596	610.096741
597	610.096741
598	620.1
599	470.057434
600	420.045868
601	450.052673
602	580.087463
603	610.096741
604	470.057434
605	440.050354
606	410.0437
607	560.081543
608	600.0936
609	500.065
610	490.062439
611	570.0845
612	420.045868
613	360.0337
614	450.052673
615	480.0599
616	510.067627
617	500.065
618	590.0905
619	530.073059
620	540.0758
621	520.0703
622	430.0481
623	490.062439
624	520.0703
625	610.096741
626	380.037537
627	530.073059
628	410.0437
629	500.065
630	450.052673
631	580.087463
632	540.0758
633	330.02832
634	520.0703
635	590.0905
636	460.055023
637	560.081543
638	390.039551
639	420.045868
640	330.02832
641	440.050354
642	450.052673
643	470.057434
644	540.0758
645	530.073059
646	540.0758
647	530.073059
648	470.057434
649	520.0703
650	610.096741
651	590.0905
652	540.0758
653	510.067627
654	470.057434
655	500.065
656	490.062439
657	480.0599
658	580.087463
659	440.050354
660	610.096741
661	570.0845
662	460.055023
663	570.0845
664	500.065
665	480.0599
666	630.1032
667	360.0337
668	510.067627
669	510.067627
670	720.1348
671	420.045868
672	390.039551
673	540.0758
674	450.052673
675	510.067627
676	560.081543
677	490.062439
678	450.052673
679	450.052673
680	610.096741
681	540.0758
682	520.0703
683	670.11676
684	540.0758
685	460.055023
686	550.0787
687	560.081543
688	560.081543
689	650.109863
690	580.087463
691	450.052673
692	550.0787
693	620.1
694	590.0905
695	460.055023
696	600.0936
697	600.0936
698	490.062439
699	610.096741
700	430.0481
</Trace>
